,stopTime_ES,mse_ES,stopTime_AIC,mse_AIC,mse_min,,,,,,,
111,44,0.5971,90,0.8854,0.5356,,,,,,,
112,60,0.9625,68,1.0407,0.8668,,,,,,,
113,88,2.1446,50,1.8736,1.8215,,,,,,,
114,26,2.5867,57,0.7320,0.4689,,,,,,,
115,35,2.3022,109,1.9047,1.7842,,,,,,,
116,32,2.9746,81,1.0941,0.9472,,,,,,,
117,20,2.4604,60,1.1757,1.1348,,,,,,,
118,19,6.8982,101,2.6738,2.6115,,,,,,,
119,27,3.3730,40,2.5942,2.1866,,,,,,,
120,21,2.4003,43,1.8665,1.8056,,,,,,,
121,185,0.7856,78,1.0609,0.7787,,,,,,,
122,59,1.7171,67,1.5575,1.4595,,,,,,,
123,20,2.2264,86,0.7661,0.7389,,,,,,,
124,24,4.0601,95,2.3772,2.3126,,,,,,,
125,56,1.0285,188,3.1377,0.8914,,,,,,,
126,25,5.4714,60,3.3431,3.1182,,,,,,,
127,24,2.8748,57,1.5065,1.2331,,,,,,,
128,22,4.0449,75,0.7439,0.6578,,,,,,,
129,48,1.8685,101,0.6612,0.6349,,,,,,,
130,18,6.8875,60,5.1430,4.4621,,,,,,,
131,39,2.3352,65,1.3848,1.1941,,,,,,,
132,24,2.9264,67,1.9373,1.7337,,,,,,,
133,600,2.1118,118,1.5806,1.5435,,,,,,,
134,62,0.7186,65,0.7079,0.6998,,,,,,,
135,52,1.9747,71,1.8384,1.8365,,,,,,,
136,38,2.2204,49,1.8539,1.7035,,,,,,,
137,19,2.9736,53,1.3373,1.3216,,,,,,,
138,26,2.2443,51,1.2738,1.1509,,,,,,,
139,24,2.8548,60,2.6997,2.4857,,,,,,,
140,42,1.3634,38,1.3773,1.3201,,,,,,,
141,33,2.4139,98,0.5370,0.5279,,,,,,,
142,38,2.7989,70,1.8913,1.7993,,,,,,,
143,25,1.9095,85,0.9368,0.7699,,,,,,,
144,40,2.5173,106,2.3615,2.0774,,,,,,,
145,37,1.2952,123,1.3596,0.9396,,,,,,,
146,24,1.9376,86,0.8504,0.7479,,,,,,,
147,24,2.6378,48,1.2144,1.0009,,,,,,,
148,34,1.4626,61,0.9540,0.9200,,,,,,,
149,23,5.2316,56,2.2980,1.9091,,,,,,,
150,27,1.2304,77,0.2306,0.1397,,,,,,,
151,53,1.0294,65,0.9324,0.9180,,,,,,,
152,26,5.5657,66,3.3348,3.0818,,,,,,,
153,30,2.1876,68,0.5259,0.5024,,,,,,,
154,38,2.6580,56,2.0840,1.7556,,,,,,,
155,32,0.9165,63,0.5262,0.4531,,,,,,,
156,17,3.0909,104,0.6284,0.6028,,,,,,,
157,24,2.3229,54,0.8797,0.8533,,,,,,,
158,43,1.0287,65,0.7530,0.6704,,,,,,,
159,20,4.3963,56,1.5967,1.2658,,,,,,,
160,45,1.9281,132,1.6016,1.4767,,,,,,,
161,45,1.1145,288,1.5905,0.7769,,,,,,,
162,29,2.5367,72,2.1120,1.9388,,,,,,,
163,37,1.2899,73,1.0533,0.9769,,,,,,,
164,32,2.6109,99,1.5485,1.5113,,,,,,,
165,74,1.7844,66,1.9076,1.6428,,,,,,,
166,41,2.2294,96,2.3526,2.0621,,,,,,,
167,60,0.7575,87,0.6474,0.6268,,,,,,,
168,26,3.1814,68,2.0231,1.9702,,,,,,,
169,52,1.7159,86,1.7104,1.5799,,,,,,,
170,31,2.9182,80,0.9140,0.8800,,,,,,,
171,28,1.7912,95,1.4707,1.0791,,,,,,,
172,31,1.6595,98,1.3158,1.0232,,,,,,,
173,42,0.7774,87,0.3154,0.2796,,,,,,,
174,99,0.1032,85,0.0929,0.0919,,,,,,,
175,600,1.7800,53,1.1408,1.0951,,,,,,,
176,86,0.6918,42,0.8790,0.6303,,,,,,,
177,24,1.8886,95,0.4404,0.4213,,,,,,,
178,51,1.3079,75,1.0305,1.0214,,,,,,,
179,38,1.4124,66,1.3959,1.2997,,,,,,,
180,46,1.8490,82,0.7859,0.5629,,,,,,,
181,24,2.7367,141,2.5682,1.8776,,,,,,,
182,94,1.9404,74,1.6661,1.3822,,,,,,,
183,54,1.8319,49,1.8861,1.5372,,,,,,,
184,52,1.9765,77,1.7814,1.7368,,,,,,,
185,27,2.3927,72,1.0236,0.9546,,,,,,,
186,70,1.2824,247,2.6019,1.2824,,,,,,,
187,24,2.4444,47,1.0514,0.8686,,,,,,,
188,21,2.2894,85,1.1735,1.1049,,,,,,,
189,19,2.5114,51,1.4580,1.2627,,,,,,,
190,43,1.0743,90,0.9372,0.7613,,,,,,,
191,28,2.5974,112,0.9698,0.9086,,,,,,,
192,38,3.2204,153,3.3339,2.7735,,,,,,,
193,62,0.9831,57,1.0311,0.6822,,,,,,,
194,44,1.9787,70,1.8522,1.7851,,,,,,,
195,600,1.3053,50,1.0906,1.0029,,,,,,,
196,24,1.0935,46,1.0636,0.8383,,,,,,,
197,60,0.1761,72,0.1914,0.1533,,,,,,,
198,36,0.7077,62,0.4426,0.4250,,,,,,,
199,27,3.3446,88,1.0034,0.9631,,,,,,,
200,27,1.2934,184,0.9611,0.5473,,,,,,,
201,46,1.9372,136,2.1461,1.6447,,,,,,,
202,59,0.8582,55,0.9006,0.5242,,,,,,,
203,26,0.7370,57,0.8173,0.5456,,,,,,,
204,33,1.4179,120,0.8726,0.5639,,,,,,,
205,45,1.1931,108,0.8965,0.8042,,,,,,,
206,25,2.0699,90,0.8779,0.8523,,,,,,,
207,47,1.1946,60,1.0792,1.0529,,,,,,,
208,46,1.6090,70,1.8671,1.5801,,,,,,,
209,46,0.9012,97,2.0150,0.8817,,,,,,,
210,38,2.8383,46,2.5173,1.7025,,,,,,,
211,56,1.0175,116,1.6617,0.9839,,,,,,,
212,23,3.2723,86,2.6140,2.2310,,,,,,,
213,34,1.1259,59,0.4675,0.4096,,,,,,,
214,25,1.0147,56,0.6078,0.5777,,,,,,,
215,20,3.0062,121,2.4798,2.1731,,,,,,,
216,70,1.5352,256,2.0809,1.3686,,,,,,,
217,37,1.1895,63,0.6632,0.6330,,,,,,,
218,38,2.4918,56,1.8781,1.5318,,,,,,,
219,47,0.8729,74,1.1812,0.8133,,,,,,,
220,23,1.4512,71,0.5477,0.5030,,,,,,,
221,34,1.8077,107,0.6518,0.6111,,,,,,,
222,51,1.1846,47,1.1732,1.1446,,,,,,,
223,46,1.6218,120,0.8464,0.8034,,,,,,,
224,47,1.8910,89,1.5251,1.5251,,,,,,,
225,30,1.4329,107,0.7461,0.6155,,,,,,,
226,31,1.5577,77,1.0864,0.9255,,,,,,,
227,36,1.9856,68,1.2617,1.2537,,,,,,,
228,89,1.0373,36,1.0673,0.8935,,,,,,,
229,59,1.8325,129,2.0070,1.6555,,,,,,,
230,31,1.7569,41,1.3748,0.7995,,,,,,,
231,46,1.9934,117,2.3049,1.9218,,,,,,,
232,64,2.0242,99,1.9582,1.9333,,,,,,,
233,31,1.9126,85,0.8370,0.7823,,,,,,,
234,12,3.0193,71,1.4893,1.4480,,,,,,,
235,43,1.0469,89,0.7257,0.6919,,,,,,,
236,42,0.6771,36,0.7786,0.5112,,,,,,,
237,28,1.9139,100,1.3243,1.1660,,,,,,,
238,26,1.7052,104,0.7170,0.7012,,,,,,,
239,23,5.6569,78,4.4774,4.2134,,,,,,,
240,36,0.7833,99,0.9384,0.4070,,,,,,,
241,39,1.3109,98,0.7563,0.6877,,,,,,,
242,39,1.7317,75,1.7428,1.6439,,,,,,,
243,23,1.9957,49,0.7117,0.6010,,,,,,,
244,32,2.2027,95,1.3675,1.3535,,,,,,,
245,26,2.1860,50,0.8705,0.7135,,,,,,,
246,36,1.4330,80,1.2488,1.1679,,,,,,,
247,21,3.2707,103,1.2488,1.2433,,,,,,,
248,194,0.8840,46,0.7606,0.6427,,,,,,,
249,64,0.1618,65,0.1518,0.1200,,,,,,,
250,30,2.4431,64,1.4352,1.4278,,,,,,,
251,45,1.5582,61,1.5808,1.5243,,,,,,,
252,29,2.4201,67,1.2688,1.2202,,,,,,,
253,47,2.2065,114,2.2610,1.9102,,,,,,,
254,29,2.4680,50,1.3442,1.0901,,,,,,,
255,34,2.3019,55,2.1919,2.1345,,,,,,,
256,33,0.8034,74,1.7413,0.8034,,,,,,,
257,14,4.6703,65,1.8693,1.8388,,,,,,,
258,29,1.6405,111,1.2783,0.8915,,,,,,,
259,42,0.9345,90,1.2760,0.8710,,,,,,,
260,80,2.2179,57,1.9735,1.8914,,,,,,,
261,21,3.8878,109,1.5133,1.4761,,,,,,,
262,51,1.3718,86,1.4565,1.2821,,,,,,,
263,36,1.1154,207,1.2341,0.6727,,,,,,,
264,38,2.1211,91,2.6038,1.9176,,,,,,,
265,37,1.5852,60,0.6875,0.6245,,,,,,,
266,42,2.5578,94,2.6143,2.3321,,,,,,,
267,24,2.6115,90,0.8825,0.8623,,,,,,,
268,64,1.8362,55,1.8887,1.5586,,,,,,,
269,26,1.6284,93,0.5316,0.2957,,,,,,,
270,44,2.1759,78,1.8650,1.8056,,,,,,,
271,49,1.0350,61,1.1796,1.0021,,,,,,,
272,16,5.6625,79,2.2925,2.0411,,,,,,,
273,46,1.7376,94,1.7177,1.4788,,,,,,,
274,50,1.2533,422,3.2852,1.1027,,,,,,,
275,47,1.1150,96,1.2087,1.0177,,,,,,,
276,75,1.5701,72,1.5488,1.5054,,,,,,,
277,35,0.8977,174,1.9764,0.7738,,,,,,,
278,26,2.7829,67,0.8164,0.7387,,,,,,,
279,42,2.2804,73,1.5293,1.4239,,,,,,,
280,35,1.9386,286,2.4997,1.2228,,,,,,,
281,47,2.5724,80,1.9723,1.8189,,,,,,,
282,49,1.6478,67,1.3515,1.3140,,,,,,,
283,35,1.3440,83,0.5542,0.5137,,,,,,,
284,30,1.1721,58,0.9361,0.8971,,,,,,,
285,40,1.2582,125,1.8591,1.2582,,,,,,,
286,186,2.5582,109,2.4076,2.2474,,,,,,,
287,29,1.6462,49,0.7389,0.6124,,,,,,,
288,55,1.6129,111,1.5191,1.3970,,,,,,,
289,34,1.1666,65,0.7675,0.7438,,,,,,,
290,226,2.6114,55,1.9043,1.8565,,,,,,,
291,32,1.8535,214,1.0761,0.9019,,,,,,,
292,19,2.6520,60,1.3477,1.3049,,,,,,,
293,29,2.8237,53,2.3702,1.8227,,,,,,,
294,15,4.9118,55,1.0087,0.8133,,,,,,,
295,45,0.5159,68,0.4639,0.4190,,,,,,,
296,34,1.4175,116,1.8232,1.1906,,,,,,,
297,81,0.2599,60,0.2380,0.2335,,,,,,,
298,42,0.6751,85,0.4211,0.3772,,,,,,,
299,57,1.3855,90,1.2817,1.2060,,,,,,,
300,31,0.7630,98,0.8874,0.3655,,,,,,,
301,90,1.3207,49,1.8395,1.2663,,,,,,,
302,42,0.8156,88,0.5789,0.5567,,,,,,,
303,52,2.9861,120,3.2414,2.7395,,,,,,,
304,41,0.9634,80,0.9612,0.7816,,,,,,,
305,31,1.7724,71,1.1471,1.0970,,,,,,,
306,50,0.3511,63,0.4456,0.3511,,,,,,,
307,50,0.9722,74,0.7576,0.7538,,,,,,,
308,61,0.7374,49,0.6881,0.6442,,,,,,,
309,58,0.5771,53,0.6301,0.3953,,,,,,,
310,31,3.6858,83,2.3485,2.2930,,,,,,,
311,51,2.1266,104,2.7579,2.0314,,,,,,,
312,42,2.3394,154,1.5915,1.4100,,,,,,,
313,43,1.6261,181,1.6532,1.2115,,,,,,,
314,52,1.1537,61,1.1703,1.1026,,,,,,,
315,600,0.6866,47,1.0935,0.6462,,,,,,,
316,69,2.1073,62,2.1566,1.7844,,,,,,,
317,45,1.5761,119,3.0612,1.4419,,,,,,,
318,25,2.2403,150,1.0548,0.7576,,,,,,,
319,57,1.2737,88,0.8323,0.8127,,,,,,,
320,24,2.9570,77,1.0242,0.8757,,,,,,,
321,28,2.7096,69,1.4868,1.4582,,,,,,,
322,39,1.5251,76,0.8015,0.7736,,,,,,,
323,32,2.8386,113,1.2567,1.2324,,,,,,,
324,23,2.3772,70,0.8739,0.8561,,,,,,,
325,57,1.3298,93,2.6766,0.7960,,,,,,,
326,11,6.4646,77,2.4344,2.3610,,,,,,,
327,45,0.9815,81,0.7329,0.7065,,,,,,,
328,31,1.8532,38,1.6945,1.4754,,,,,,,
329,26,2.7646,97,1.3044,1.2231,,,,,,,
330,21,2.9168,43,2.3850,2.1760,,,,,,,
331,38,2.1044,88,1.8187,1.6751,,,,,,,
332,35,1.7771,85,0.9573,0.8697,,,,,,,
333,61,2.3282,51,2.4660,2.2558,,,,,,,
334,54,0.9485,51,0.9658,0.7567,,,,,,,
335,34,0.5958,98,0.5217,0.2085,,,,,,,
336,29,2.2671,73,0.7576,0.6597,,,,,,,
337,25,3.2905,82,1.8923,1.8622,,,,,,,
338,47,0.7806,74,0.7568,0.6938,,,,,,,
339,46,0.8234,77,1.0303,0.7353,,,,,,,
340,38,1.1771,134,1.3024,0.6979,,,,,,,
341,86,1.7899,118,1.7570,1.7264,,,,,,,
342,35,2.5409,77,1.9605,1.8872,,,,,,,
343,48,0.4635,84,0.5165,0.3942,,,,,,,
344,56,1.0690,100,1.3283,0.9869,,,,,,,
345,56,0.9812,109,1.2593,0.9427,,,,,,,
346,24,2.1927,123,1.1810,0.8467,,,,,,,
347,30,2.4739,86,2.1200,1.8559,,,,,,,
348,23,2.6808,46,1.0478,0.6471,,,,,,,
349,46,1.8856,202,2.2261,1.5528,,,,,,,
350,31,1.7810,83,1.1339,1.0941,,,,,,,
351,32,1.0214,51,1.4169,1.0214,,,,,,,
352,46,1.6194,81,0.9838,0.8542,,,,,,,
353,30,1.9745,74,1.6127,1.4689,,,,,,,
354,30,3.0029,91,2.2775,2.1455,,,,,,,
355,49,2.5122,105,2.9953,2.2849,,,,,,,
356,20,3.2127,65,1.6835,1.5356,,,,,,,
357,37,0.8643,64,0.6240,0.5683,,,,,,,
358,334,1.9049,42,1.3569,1.0249,,,,,,,
